UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
386472,5,3,1,3,3,3,2,2,1,"R",33,"R",9,"R",24,"R",25,"R",4,"R",21,"R",17,"R",1,"R",16,"R",13,"R",0,"R",13,"R",4,"R",1,"R",3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
392354,3,3,1,3,1,1,3,1,3,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
392840,1,3,1,3,1,1,1,1,3,"R",165,"R",41,"R",124,"R",96,"R",25,"R",71,"R",34,"R",9,"R",25,"R",34,"R",9,"R",25,"R",0,"R",0,"R",0,"R",5,"R",15,"R",28,"R",82,"R",470,"R",635,"R",435,"R",560,"R",19,"R",25,"R",19,"R",28,"R",16,"R",23
399911,1,2,1,1,1,5,1,1,3,"R",504,"R",154,"R",350,"R",202,"R",71,"R",131,"R",108,"R",38,"R",70,"R",108,"R",38,"R",70,"A",,"A",,"A",,"R",88,"R",82,"R",27,"R",25,"R",590,"R",680,"R",650,"R",750,"R",26,"R",32,"R",25,"R",34,"R",25,"R",32
405058,3,3,2,1,1,3,3,3,3,"R",57,"R",57,"Z",0,"R",54,"R",54,"A",,"R",48,"R",48,"A",,"R",48,"R",48,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
406422,2,3,1,3,1,3,3,3,1,"R",107,"R",11,"R",96,"R",67,"R",7,"R",60,"R",53,"R",5,"R",48,"R",53,"R",5,"R",48,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
407009,2,2,1,2,3,3,1,1,3,"R",3376,"R",1313,"R",2063,"R",2760,"R",1032,"R",1728,"R",789,"R",263,"R",526,"R",785,"R",261,"R",524,"R",4,"R",2,"R",2,"R",302,"R",38,"R",558,"R",71,"R",530,"R",640,"R",510,"R",630,"R",19,"R",25,"R",18,"R",24,"R",18,"R",25
408729,3,3,1,3,3,3,3,3,1,"R",65,"R",11,"R",54,"R",60,"R",11,"R",49,"R",51,"R",10,"R",41,"R",42,"R",8,"R",34,"R",9,"R",2,"R",7,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
409698,1,3,1,1,3,3,1,3,3,"R",12327,"R",4451,"R",7876,"R",9280,"R",3155,"R",6125,"R",1046,"R",389,"R",657,"R",1036,"R",385,"R",651,"R",10,"R",4,"R",6,"R",966,"R",92,"R",363,"R",35,"R",485,"R",600,"R",470,"R",570,"R",17,"R",23,"R",15,"R",23,"R",16,"R",22
410797,3,3,1,3,3,3,3,3,3,"R",20,"R",12,"R",8,"R",20,"R",12,"R",8,"R",16,"R",11,"R",5,"R",16,"R",11,"R",5,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
