UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
460190,3,3,1,3,2,3,3,3,1,"R",122,"R",14,"R",108,"R",109,"R",14,"R",95,"R",74,"R",11,"R",63,"R",74,"R",11,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
460206,3,3,1,3,2,3,3,3,1,"R",206,"R",26,"R",180,"R",202,"R",26,"R",176,"R",106,"R",12,"R",94,"R",106,"R",12,"R",94,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
460349,1,2,1,2,3,3,2,1,3,"R",211,"R",57,"R",152,"R",77,"R",21,"R",55,"R",43,"R",15,"R",28,"R",6,"R",0,"R",6,"R",37,"R",15,"R",22,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
460376,3,3,1,3,3,3,3,1,3,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
460385,1,1,1,1,1,1,2,1,3,"R",83,"R",8,"R",75,"R",28,"R",3,"R",25,"R",25,"R",3,"R",22,"R",25,"R",3,"R",22,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
460871,1,3,1,3,3,3,2,2,1,"R",11,"R",0,"R",11,"R",7,"A",,"R",7,"R",3,"A",,"R",3,"R",2,"A",,"R",2,"R",1,"A",,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
460914,1,3,3,3,3,3,3,2,3,"R",9,"Z",0,"R",9,"R",8,"A",,"R",8,"R",6,"A",,"R",6,"R",6,"A",,"R",6,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
461254,5,3,1,3,3,3,3,3,1,"R",15,"R",4,"R",11,"R",15,"R",4,"R",11,"R",11,"R",0,"R",11,"R",11,"A",,"R",11,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
461528,1,3,1,3,1,5,3,5,3,"R",13,"R",8,"R",5,"R",13,"R",8,"R",5,"R",9,"R",5,"R",4,"R",7,"R",4,"R",3,"R",2,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
461759,1,3,1,3,1,3,1,3,3,"R",23,"R",13,"R",10,"R",21,"R",11,"R",10,"R",12,"R",10,"R",2,"R",8,"R",7,"R",1,"R",4,"R",3,"R",1,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
