UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
101480,07,"R",363,"R",130,"R",233,"R",1,"R",0,"R",63,"R",0,"R",0,"R",269,"R",0,"R",17,"R",13,"R",0,"R",25,"R",245,"R",93,"R",0
101480,09,"R",16,"R",1,"R",15,"R",0,"R",0,"R",6,"R",0,"R",0,"R",10,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",14,"R",0
101480,10,"R",75,"R",26,"R",49,"R",5,"R",0,"R",10,"R",0,"R",0,"R",59,"R",0,"R",1,"R",0,"R",0,"R",0,"R",34,"R",41,"R",0
101505,02,"R",209,"R",99,"R",110,"R",1,"R",4,"R",57,"R",6,"R",0,"R",132,"R",1,"R",1,"R",7,"R",0,"R",79,"R",79,"R",51,"R",0
101505,03,"R",835,"R",277,"R",558,"R",5,"R",12,"R",154,"R",31,"R",0,"R",593,"R",21,"R",2,"R",17,"R",0,"R",410,"R",331,"R",94,"R",0
101505,12,"R",225,"R",112,"R",113,"R",0,"R",4,"R",68,"R",5,"R",0,"R",138,"R",2,"R",1,"R",7,"R",0,"R",83,"R",87,"R",55,"R",0
101514,02,"R",205,"R",35,"R",170,"R",3,"R",7,"R",20,"R",6,"Z",0,"R",160,"R",7,"R",1,"R",1,"Z",0,"R",86,"R",101,"R",18,"Z",0
101514,03,"R",1198,"R",514,"R",684,"R",24,"R",39,"R",156,"R",51,"Z",0,"R",855,"R",50,"R",12,"R",11,"R",1,"R",658,"R",412,"R",127,"Z",0
101514,12,"R",983,"R",543,"R",440,"R",16,"R",35,"R",136,"R",46,"Z",0,"R",680,"R",44,"R",18,"R",8,"R",13,"R",514,"R",313,"R",143,"Z",0
101541,03,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0
101541,05,"R",61,"Z",0,"R",61,"R",1,"Z",0,"R",5,"R",2,"R",1,"R",50,"R",2,"Z",0,"Z",0,"Z",0,"R",50,"R",5,"R",6,"Z",0
101569,02,"R",162,"R",97,"R",65,"R",1,"R",0,"R",105,"R",4,"R",0,"R",47,"R",2,"R",3,"R",0,"R",0,"R",89,"R",56,"R",17,"R",0
101569,03,"R",418,"R",150,"R",268,"R",0,"R",2,"R",309,"R",7,"R",1,"R",81,"R",10,"R",7,"R",1,"R",0,"R",234,"R",134,"R",50,"R",0
101569,12,"R",177,"R",136,"R",41,"R",1,"R",1,"R",108,"R",10,"R",0,"R",51,"R",3,"R",3,"R",0,"R",0,"R",87,"R",63,"R",27,"R",0
101587,03,"R",29,"R",10,"R",19,"Z",0,"Z",0,"R",13,"Z",0,"Z",0,"R",15,"R",1,"Z",0,"Z",0,"R",0,"R",21,"R",7,"R",1,"R",0
101587,05,"R",312,"R",140,"R",172,"Z",0,"R",1,"R",105,"R",7,"Z",0,"R",147,"R",14,"R",11,"R",27,"R",0,"R",213,"R",85,"R",14,"R",0
101587,07,"R",889,"R",187,"R",702,"R",4,"R",3,"R",174,"R",13,"R",1,"R",625,"R",12,"R",50,"R",7,"R",0,"R",43,"R",627,"R",219,"R",0
101587,10,"R",163,"R",17,"R",146,"Z",0,"Z",0,"R",59,"Z",0,"Z",0,"R",92,"R",2,"R",10,"Z",0,"R",0,"R",0,"R",78,"R",85,"Z",0
101602,02,"R",57,"R",24,"R",33,"R",1,"R",0,"R",6,"R",0,"R",0,"R",47,"R",1,"R",2,"R",0,"R",0,"R",38,"R",15,"R",4,"R",0
101602,03,"R",288,"R",89,"R",199,"R",2,"R",1,"R",76,"R",1,"R",0,"R",203,"R",3,"R",2,"R",0,"R",1,"R",205,"R",66,"R",16,"R",0
101602,12,"R",170,"R",112,"R",58,"R",2,"R",0,"R",23,"R",2,"R",0,"R",137,"R",4,"R",2,"R",0,"R",15,"R",105,"R",35,"R",15,"R",0
101648,03,"R",92,"R",67,"R",25,"R",1,"R",0,"R",24,"R",8,"R",0,"R",54,"R",5,"R",0,"R",0,"R",0,"R",92,"R",0,"R",0,"R",0
