UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
101541,03,"R",21,"R",0,"R",21,"Z",0,"Z",0,"R",11,"R",1,"Z",0,"R",9,"Z",0,"Z",0,"Z",0,"R",0,"R",4,"R",15,"R",2,"Z",0
101541,05,"R",35,"R",1,"R",34,"Z",0,"R",1,"R",5,"Z",0,"Z",0,"R",28,"Z",0,"R",1,"Z",0,"R",0,"R",25,"R",5,"R",4,"R",1
101569,01,"R",168,"R",132,"R",36,"R",0,"R",1,"R",107,"R",2,"R",0,"R",56,"R",1,"R",1,"R",0,"R",0,"R",47,"R",61,"R",60,"R",0
101569,02,"R",138,"R",90,"R",48,"R",0,"R",1,"R",80,"R",3,"R",0,"R",53,"R",0,"R",0,"R",1,"R",0,"R",59,"R",46,"R",33,"R",0
101569,03,"R",261,"R",105,"R",156,"R",0,"R",2,"R",210,"R",0,"R",1,"R",44,"R",3,"R",1,"R",0,"R",0,"R",141,"R",82,"R",38,"R",0
101587,03,"R",46,"R",9,"R",37,"Z",0,"Z",0,"R",22,"Z",0,"Z",0,"R",21,"Z",0,"R",3,"Z",0,"Z",0,"R",35,"R",10,"R",1,"Z",0
101587,05,"R",264,"R",109,"R",155,"R",1,"Z",0,"R",79,"R",8,"Z",0,"R",118,"R",3,"R",9,"R",46,"Z",0,"R",187,"R",73,"R",4,"Z",0
101587,07,"R",578,"R",113,"R",465,"R",8,"Z",0,"R",143,"R",4,"Z",0,"R",377,"R",6,"R",24,"R",16,"Z",0,"R",14,"R",413,"R",151,"Z",0
101587,10,"R",150,"R",15,"R",135,"Z",0,"Z",0,"R",60,"R",1,"Z",0,"R",81,"R",1,"R",6,"R",1,"Z",0,"Z",0,"R",65,"R",85,"Z",0
101602,01,"R",133,"R",81,"R",52,"R",0,"R",0,"R",20,"R",2,"R",0,"R",108,"R",3,"R",0,"R",0,"R",3,"R",77,"R",48,"R",5,"R",0
101602,02,"R",98,"R",49,"R",49,"R",1,"R",0,"R",13,"R",0,"R",0,"R",81,"R",3,"R",0,"R",0,"R",0,"R",65,"R",27,"R",6,"R",0
101602,03,"R",267,"R",99,"R",168,"R",1,"R",1,"R",69,"R",4,"R",0,"R",189,"R",3,"R",0,"R",0,"R",0,"R",169,"R",76,"R",22,"R",0
101648,03,"R",102,"R",83,"R",19,"R",1,"R",2,"R",23,"R",7,"R",0,"R",64,"R",3,"R",2,"R",0,"R",0,"R",101,"R",1,"R",0,"R",0
101675,05,"R",222,"R",95,"R",127,"R",0,"R",0,"R",211,"R",1,"R",0,"R",5,"R",1,"R",4,"R",0,"R",0,"R",162,"R",52,"R",8,"R",0
101693,03,"R",3,"R",0,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",1,"R",0,"R",0,"R",1,"R",2,"R",0,"R",0
101693,05,"R",267,"R",102,"R",165,"R",5,"R",1,"R",44,"R",4,"R",0,"R",182,"R",3,"R",10,"R",18,"R",0,"R",187,"R",53,"R",27,"R",0
