UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
163286,1,2,1,2,2,3,1,1,3,"R",33922,"R",16748,"R",17174,"R",15096,"R",7599,"R",7497,"R",4156,"R",2236,"R",1920,"R",4145,"R",2228,"R",1917,"R",11,"R",8,"R",3,"R",2563,"R",62,"R",1588,"R",38,"R",630,"R",720,"R",650,"R",750,"R",29,"R",33,"R",29,"R",35,"R",28,"R",33
163295,1,2,1,2,1,1,1,1,3,"R",3636,"R",836,"R",2800,"R",2240,"R",515,"R",1725,"R",423,"R",97,"R",326,"R",423,"R",97,"R",326,"R",0,"R",0,"R",0,"R",258,"R",61,"R",108,"R",26,"R",540,"R",660,"R",520,"R",630,"R",24,"R",29,"R",23,"R",30,"R",23,"R",28
163338,1,3,1,2,2,3,1,1,3,"R",7827,"R",2952,"R",4875,"R",3053,"R",1143,"R",1910,"R",565,"R",256,"R",309,"R",560,"R",253,"R",307,"R",5,"R",3,"R",2,"R",499,"R",88,"R",95,"R",17,"R",430,"R",520,"R",430,"R",520,"R",16,"R",20,"R",15,"R",18,"R",15,"R",19
163453,1,3,3,2,1,3,1,1,3,"R",7247,"R",2500,"R",4747,"R",4618,"R",1615,"R",3003,"R",1204,"R",493,"R",711,"R",1192,"R",486,"R",706,"R",12,"R",7,"R",5,"R",974,"R",81,"R",124,"R",10,"R",440,"R",520,"R",460,"R",540,"R",16,"R",20,"R",15,"R",20,"R",16,"R",20
163462,1,3,1,1,1,3,1,1,3,"R",6130,"R",2404,"R",3726,"R",3937,"R",1556,"R",2381,"R",524,"R",260,"R",264,"R",524,"R",260,"R",264,"A",,"A",,"A",,"R",432,"R",82,"R",87,"R",17,"R",500,"R",600,"R",480,"R",590,"R",19,"R",24,"R",18,"R",24,"R",17,"R",24
163532,2,2,2,3,1,1,2,3,3,"R",134,"R",134,"R",0,"R",86,"R",86,"A",,"R",42,"R",42,"A",,"R",42,"R",42,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
163578,1,5,2,1,1,2,5,1,3,"R",895,"R",0,"R",895,"R",639,"A",,"R",639,"R",154,"A",,"R",154,"R",154,"A",,"R",154,"A",,"A",,"A",,"R",72,"R",47,"R",12,"R",8,"R",440,"R",580,"R",430,"R",530,"R",17,"R",22,"A",,"A",,"A",,"A",
163851,1,2,1,2,2,2,2,1,3,"R",8171,"R",3596,"R",4575,"R",5313,"R",2199,"R",3114,"R",1328,"R",557,"R",771,"R",1326,"R",556,"R",770,"R",2,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
163912,1,2,1,2,1,3,1,1,3,"R",1655,"R",655,"R",1000,"R",1364,"R",515,"R",849,"R",342,"R",136,"R",206,"R",341,"R",135,"R",206,"R",1,"R",1,"R",0,"R",275,"R",80,"R",107,"R",31,"R",540,"R",650,"R",530,"R",640,"R",22,"R",28,"R",20,"R",27,"R",22,"R",31
163976,2,2,1,2,1,3,5,1,3,"R",753,"R",347,"R",406,"R",410,"R",177,"R",233,"R",122,"R",50,"R",72,"R",122,"R",50,"R",72,"A",,"A",,"A",,"R",61,"R",50,"R",23,"R",19,"R",630,"R",710,"R",650,"R",740,"R",26,"R",32,"R",29,"R",34,"R",22,"R",31
